symbol,rs_date,RS_20d,RS_60d,RS_120d,RS_180d,RS_250d,RS_20d_z,RS_60d_z,RS_120d_z,RS_180d_z,RS_250d_z,RS_Score,RS_Rating
BC,2026-03-13,1.1897177981856837,1.4769295262883315,1.2721356349157569,1.691445710692944,1.766273066887186,1.77604824636623,0.8646140839909583,0.167709370364714,0.3942419182682384,0.48802340680208356,0.6309682870990492,97.96610169491525
BCB,2026-03-13,1.0443275456503245,0.9684783778939879,0.8362528520301904,1.0990615944293944,1.124140440353833,0.24303726081197452,-0.10958039693256832,-0.19039534816806558,-0.05343704447419534,-0.013222058684999368,-0.06883994773817842,51.52542372881356
BCOR,2026-03-13,1.0383769613446248,0.8449973847125045,0.8765970555384078,1.2149673024254786,1.152489080735152,0.18029363837493492,-0.34617048515685334,-0.15725008478762986,0.03415569426920698,0.008906745952405313,-0.11696715215976779,41.01694915254237
BCP,2026-03-13,1.0443275456503245,0.9684783778939879,0.9656280814755418,1.5348885272632644,2.208483259444506,0.24303726081197452,-0.10958039693256832,-0.08410557957721841,0.275927879178618,0.8332104361672913,0.15057035336793964,86.4406779661017
BDO,2026-03-13,0.9368232394804381,0.9230809539302073,0.8677824087054883,0.8234017242669464,0.7965954091510096,-0.8905000945395678,-0.19656204701502603,-0.16449186341942595,-0.26175985623766157,-0.2689020457300319,-0.2818288675203582,10.508474576271185
BEL,2026-03-13,1.0293012500294567,0.9901607296378832,0.8087575308226934,0.930643794699202,0.8945374676531828,0.08459832933426892,-0.06803692226631992,-0.21298445847152078,-0.18071443733567374,-0.19244897252345658,-0.13020759171000254,38.30508474576271
BH,2026-03-13,1.0443275456503245,0.9684783778939879,0.9858577200539399,1.046125141486694,1.005538467288979,0.24303726081197452,-0.10958039693256832,-0.06748567782019263,-0.09344239859160443,-0.1058021562226712,-0.06000061560534277,57.79661016949152
BHI,2026-03-13,0.9596523392462443,0.8031284109364779,0.7980752971865228,0.9613041840688542,0.7770069974505749,-0.6497875287313234,-0.4263916102410321,-0.22176057539969626,-0.15754364167548357,-0.284192660371347,-0.3224740071861648,6.440677966101695
BKR,2026-03-13,1.027483552978545,0.9088797084851271,0.742436060781362,0.818123508085748,0.6195742071174518,0.065432329558738,-0.22377169139979497,-0.26747165616399377,-0.2657487314965619,-0.4070838965626571,-0.24166851928877406,15.254237288135593
BLOOM,2026-03-13,0.8863296512899431,0.8667316222397559,0.5530421356400151,0.5608596329648943,0.7508891151833286,-1.4229101017183905,-0.30452759711737615,-0.4230705027290486,-0.4601692461647226,-0.3045801465597672,-0.47713778620622366,1.694915254237288
