symbol,RS_Change_5D,RS_Change_10D,RS_Change_20D,RS_Change_60D,RS_Current,RS_Accel,RS_Accel_Rank
AUB,5.084745762711865,7.118644067796609,-1.0169491525423737,27.796610169491526,35.59322033898305,8.83050847457627,80.0
HOME,5.423728813559324,7.118644067796611,6.779661016949154,13.559322033898306,14.915254237288137,8.423728813559324,81.0
FYN,4.406779661016948,10.50847457627119,7.118644067796609,9.830508474576277,52.88135593220339,8.372881355932204,82.0
JAS,-0.6779661016949206,8.135593220338976,10.508474576271169,8.135593220338976,91.18644067796609,8.203389830508463,83.0
MA,20.33898305084746,4.7457627118644155,14.915254237288138,-4.7457627118644155,85.76271186440678,8.000000000000002,84.0
TLII,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
TLJJ,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
CYBR,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
MGH,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
MJC,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
MJIC,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
PNC,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
NXGEN,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
BMM,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
BH,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
MWP,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
EG,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
DMPI,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
AAA,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
DNA,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
DTEL,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
PTT,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
PORT,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
PNX,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
ROX,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
AR,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
2GO,2.711864406779661,10.847457627118644,6.440677966101688,9.49152542372881,57.79661016949152,7.932203389830505,95.5
BCB,2.711864406779654,11.525423728813557,-4.406779661016948,25.08474576271186,51.52542372881356,7.661016949152541,107.0
CREC,32.54237288135593,29.49152542372881,4.745762711864401,-19.66101694915254,52.20338983050847,7.610169491525422,108.0
GMA7,1.0169491525423666,2.0338983050847474,5.762711864406782,18.64406779661018,82.37288135593221,7.576271186440682,109.0
PSB,21.355932203389834,-3.3898305084745743,9.83050847457627,9.152542372881364,50.50847457627119,7.508474576271189,110.0
FOOD,-12.54237288135593,-16.61016949152541,-6.101694915254228,60.00000000000001,77.28813559322035,7.1525423728813635,111.0
BC,0.6779661016949206,0.33898305084744607,3.7288135593220346,22.033898305084747,97.96610169491525,7.152542372881355,112.0
ION,2.3728813559322077,2.3728813559322077,14.237288135593218,2.3728813559322077,89.15254237288136,7.118644067796612,113.0
PERC,37.62711864406779,14.576271186440671,-5.762711864406768,7.457627118644069,76.27118644067797,6.966101694915258,114.0
PAL,-6.4406779661016955,-1.355932203389827,11.1864406779661,13.220338983050844,32.54237288135593,6.796610169491525,115.0
HOUSE,3.7288135593220346,8.81355932203391,7.4576271186440835,4.406779661016955,75.2542372881356,6.661016949152553,116.0
PSE,5.423728813559315,11.186440677966104,7.118644067796609,1.355932203389827,67.11864406779661,6.525423728813558,117.0
